Module	Gene1	Gene2
M3	KCNJ6	AKAP6
M3	KCNJ6	DNA2
M3	SFXN3	CHRM2
M3	CDCA7L	HRH3
M3	CDCA7L	INA
M3	ERI1	HCN1
M3	TACC2	CRHR1
M3	RPH3A	DMC1
M3	RPH3A	ABCC4
M3	RPH3A	SLC31A1
M3	RPH3A	ERBB2
M3	RPH3A	SLC1A1
M3	RPH3A	PTP4A1
M3	RPH3A	RBMS1
M3	RPH3A	WDR36
M3	RPH3A	NCAPH
M3	RPH3A	HYDIN
M3	RPH3A	EEF1B2
M3	RPH3A	GNG4
M3	RPH3A	EVA1C
M3	RPH3A	NRG1
M3	RPH3A	ACVR2B
M3	RPH3A	MTIF2
M3	RPH3A	PLTP
M3	RPH3A	IMPDH1
M3	RPH3A	FOXN3
M3	RPH3A	RAB34
M3	RPH3A	PAX2
M3	RPH3A	RNF123
M3	RPH3A	LCOR
M3	RPH3A	SLC7A7
M3	RPH3A	S100A13
M3	RPH3A	RPL18
M3	RPH3A	TGM3
M3	RPH3A	WNT1
M3	RPH3A	KCNG4
M3	RPH3A	HMGB2
M3	RPH3A	NUCKS1
M3	RPH3A	ID4
M3	RPH3A	SIGLEC9
M3	RPH3A	GCSH
M3	RPH3A	BCL2L12
M3	RPH3A	TAC3
M3	RPH3A	FBXO3
M3	RPH3A	FKBP8
M3	RAP1GAP	RIMBP2
M3	NOC4L	RSPO4
M3	EEF1D	SULT4A1
M3	SV2B	PTGER3
M3	SV2B	CDH3
M3	SV2B	FKBP15
M3	SV2B	ISL2
M3	SV2B	NDUFA9
M3	SV2B	PPP1R9B
M3	SV2B	SORL1
M3	SV2B	FAR1
M3	SV2B	FOLR3
M3	SV2B	TXLNA
M3	SV2B	PAFAH1B2
M3	SV2B	DNAAF2
M3	SV2B	BLID
M3	HCN1	DTX2
M3	HCN1	GSPT1
M3	HCN1	CHRAC1
M3	HCN1	ZMYM3
M3	HCN1	GPC3
M3	HCN1	CLIC2
M3	HCN1	NPNT
M3	HCN1	ERBB2
M3	HCN1	PTP4A1
M3	HCN1	NGFRAP1
M3	HCN1	DGCR14
M3	HCN1	NDRG2
M3	HCN1	TP63
M3	HCN1	PARP3
M3	HCN1	MAP2K3
M3	HCN1	RAD9B
M3	HCN1	SLAMF6
M3	HCN1	RPS3
M3	HCN1	SLC2A5
M3	HIST1H2BM	SPHKAP
M3	TRAP1	GRIN2B
M3	CCL25	GRIN2B
M3	TDP2	RIMBP2
M3	RIMS2	PTP4A1
M3	RIMS2	SPC24
M3	RIMS2	EXD1
M3	RIMS2	DNA2
M3	RIMS2	RGCC
M3	RIMS2	HN1
M3	RIMS2	TRDN
M3	RIMS2	HSF4
M3	RIMS2	SMC3
M3	RIMS2	SDHA
M3	RIMS2	DDX53
M3	BTNL8	EPHA5
M3	ABCC8	COMMD9
M3	ABCC8	MAP3K2
M3	ABCC8	CTSA
M3	ABCC8	PSMD4
M3	ABCC8	UHMK1
M3	ABCC8	NF1
M3	ABCC8	CLNS1A
M3	ABCC8	RHOU
M3	ABCC8	RPL3L
M3	ABCC8	PLXNB1
M3	ABCC8	RNF6
M3	ABCC8	NR2E1
M3	ABCC8	OMP
M3	ABCC8	TRAPPC11
M3	ABCC8	UCK2
M3	ABCC8	APOM
M3	ABCC8	GDI2
M3	ABCC8	ARHGEF40
M3	ABCC8	MLANA
M3	ABCC8	SLC29A1
M3	ABCC8	GNPAT
M3	ABCC8	MBIP
M3	ABCC8	C14orf2
M3	ABCC8	SMAGP
M3	ABCC8	CCNT1
M3	ABCC8	STRAP
M3	ABCC8	PRPF3
M3	ABCC8	CARTPT
M3	ABCC8	ATF4
M3	ABCC8	TMEM167B
M3	ABCC8	RAB11A
M3	ABCC8	COL10A1
M3	ABCC8	TTN
M3	ABCC8	ITPRIPL1
M3	ABCC8	FPR1
M3	ABCC8	SLC5A7
M3	ABCC8	HSPG2
M3	ABCC8	PRAMEF10
M3	ABCC8	ARL10
M3	ABCC8	SNX18
M3	ABCC8	CCZ1B
M3	ABCC8	AMICA1
M3	ABCC8	PGGT1B
M3	ABCC8	CACNA1G
M3	ABCC8	STIP1
M3	SPRY1	PTPRN
M3	SPRY1	GRM7
M3	ADCYAP1	TLE4
M3	ADCYAP1	PTP4A1
M3	ADCYAP1	FILIP1
M3	ADCYAP1	TMEM74B
M3	MEOX2	MTOR
M3	MEOX2	CSNK1D
M3	MEOX2	AZI2
M3	MEOX2	PLP2
M3	MEOX2	GPC3
M3	MEOX2	ACKR3
M3	MEOX2	HPRT1
M3	MEOX2	FBXL13
M3	MEOX2	MPZL1
M3	MEOX2	PTP4A1
M3	MEOX2	LSM1
M3	MEOX2	FOLR3
M3	MEOX2	NDRG2
M3	MEOX2	HNRNPA2B1
M3	MEOX2	SLC7A5
M3	MEOX2	TENC1
M3	MEOX2	ID4
M3	MEOX2	PARP11
M3	MEOX2	HUNK
M3	MEOX2	CCDC14
M3	MEOX2	BUB3
M3	MEOX2	GRPEL1
M3	MEOX2	CAV1
M3	MEOX2	LENG8
M3	MEOX2	HIRA
M3	MEOX2	EPS8L2
M3	MEOX2	ANKLE1
M3	MEOX2	MMRN2
M3	MEOX2	EDF1
M3	MEOX2	IFT81
M3	MEOX2	AGTRAP
M3	MEOX2	LRRC4
M3	MEOX2	RPS6KA4
M3	MEOX2	MYO1E
M3	MEOX2	AFAP1L1
M3	MEOX2	PAFAH1B1
M3	MEOX2	NKTR
M3	MEOX2	AFF3
M3	MEOX2	CSNK2A2
M3	MEOX2	GJB6
M3	MEOX2	SLC38A5
M3	MEOX2	TMEM107
M3	MEOX2	MRPL48
M3	MEOX2	ZUFSP
M3	MEOX2	RPSA
M3	MEOX2	BNIPL
M3	HRH3	DTX2
M3	HRH3	DRD4
